Player,Role,Amount,Team,Year,Player Origin
Dinesh Karthik,Batter,23000000,GL,2016,Indian
Dinesh Karthik,Batter,74000000,KKR,2018,Indian
Dinesh Karthik,Batter,55000000,RCB,2022,Indian
Dinesh Salunkhe,All-Rounder,1000000,RR,2015,Indian
Dirk Nannes,Bowler,45000000,CSK,2013,Overseas
Dishant Yagnik,Batter,3000000,RR,2014,Indian
Dominic Drakes,All-Rounder,11000000,GT,2022,Overseas
Domnic Joseph Muthuswamy,Bowler,7500000,DC,2015,Overseas
Dushmanta Chameera,Bowler,20000000,LSG,2022,Overseas
Dushmantha Chameera,Bowler,5000000,RR,2018,Overseas
Dwaine Pretorius,All-Rounder,5000000,CSK,2022,Overseas
Dwayne Bravo,All-Rounder,64000000,CSK,2018,Overseas
Dwayne Bravo,All-Rounder,44000000,CSK,2022,Overseas
Dwayne Smith,Batter,45000000,CSK,2014,Overseas
Dwayne Smith,All-Rounder,23000000,GL,2016,Overseas
Eklavya Dwivedi,Batter,1000000,CSK,2015,Indian
Eklavya Dwivedi,Batter,10000000,GL,2016,Indian
Eklavya Dwivedi,Batter,7500000,SRH,2017,Indian
Eoin Morgan,Batter,15000000,SRH,2015,Overseas
Eoin Morgan,Batter,20000000,PBKS,2017,Overseas
Eoin Morgan,Batter,52500000,KKR,2020,Overseas
Evin Lewis,Batter,38000000,MI,2018,Overseas
Evin Lewis,Batter,20000000,LSG,2022,Overseas
Fabian Allen,All-Rounder,5000000,SRH,2020,Overseas
Fabian Allen,All-Rounder,7500000,PBKS,2021,Overseas
Fabian Allen,All-Rounder,7500000,MI,2022,Overseas
Faf Du Plessis,Batter,47500000,CSK,2014,Overseas
Faf Du Plessis,Batter,16000000,CSK,2018,Overseas
Faf Du Plessis,Batter,70000000,RCB,2022,Overseas
Farhaan Behardien,All-Rounder,3000000,PBKS,2016,Overseas
Fazalhaq Farooqi,Bowler,5000000,SRH,2022,Overseas
Fidel Edwards,Bowler,15750000,RR,2013,Overseas
Finn Allen,Batter,8000000,RCB,2022,Overseas
Gautam Gambhir,Batter,28000000,DC,2018,Indian
George Bailey,Batter,32500000,PBKS,2014,Overseas
Glenn Maxwell,All-Rounder,75000000,MI,2013,Overseas
Glenn Maxwell,All-Rounder,60000000,PBKS,2014,Overseas
Glenn Maxwell,All-Rounder,90000000,DC,2018,Overseas
Glenn Maxwell,All-Rounder,107500000,PBKS,2020,Overseas
Glenn Maxwell,All-Rounder,142500000,RCB,2021,Overseas
Glenn Phillips,Batter,15000000,SRH,2022,Overseas
Gurinder Sandhu,Bowler,17000000,DC,2015,Indian
Gurkeerat Singh Mann,All-Rounder,5000000,GT,2022,Indian
Gurkeerat Singh Mann,All-Rounder,7500000,DC,2018,Indian
Gurkeerat Singh Mann,All-Rounder,5000000,RCB,2019,Indian
Gurkeerat Singh Mann,Batter,13000000,PBKS,2014,Indian
Hanuma Vihari,Batter,1000000,SRH,2015,Indian
Hanuma Vihari,Batter,20000000,DC,2019,Indian
Harbhajan Singh,Bowler,20000000,CSK,2018,Indian
Harbhajan Singh,Bowler,20000000,KKR,2021,Indian
Hardik Pandya,All-Rounder,1000000,MI,2015,Indian
Hardus Viljoen,Bowler,7500000,PBKS,2019,Overseas
Harpreet Brar,All-Rounder,2000000,PBKS,2019,Indian
Harpreet Brar,All-Rounder,38000000,PBKS,2022,Indian
Harry Gurney,Bowler,7500000,KKR,2019,Overseas
Harshal Patel,Bowler,4000000,RCB,2014,Indian
Harshal Patel,All-Rounder,2000000,DC,2018,Indian
Harshal Patel,All-Rounder,107500000,RCB,2022,Indian
Heinrich Klaasen,Batter,5000000,RCB,2019,Overseas
Himmat Singh,Batter,6500000,RCB,2019,Indian
Hrithik Shokeen,All-Rounder,2000000,MI,2022,Indian
HS Sharath,Bowler,1000000,DC,2014,Indian
Imran Tahir,Bowler,10000000,CSK,2018,Overseas
Iqbal Abdullah,All-Rounder,6500000,RR,2014,Indian
Iqbal Abdullah,All-Rounder,1000000,RCB,2016,Indian
Irfan Pathan,All-Rounder,24000000,SRH,2014,Indian
Irfan Pathan,All-Rounder,15000000,CSK,2015,Indian
Irfan Pathan,All-Rounder,10000000,RPSG,2016,Indian
Ishan Kishan,Batter,3500000,GL,2016,Indian
Ishan Kishan,Batter,62000000,MI,2018,Indian
Ishan Kishan,Batter,152500000,MI,2022,Indian
Ishan Porel,Bowler,2500000,PBKS,2022,Indian
Ishan Porel,Bowler,2000000,PBKS,,Indian
Ishank Jaggi,Batter,1000000,KKR,2017,Indian
Ishank Jaggi,Batter,2000000,KKR,2018,Indian
Ishant Sharma,Bowler,26000000,SRH,2014,Indian
Ishant Sharma,Bowler,38000000,RPSG,2016,Indian
Ishant Sharma,Bowler,11000000,DC,2019,Indian
Ishwar Chandra Pandey,Bowler,15000000,CSK,2014,Indian
Ishwar Chandra Pandey,Bowler,2000000,RPSG,2016,Indian
Isuru Udana,All-Rounder,5000000,RCB,2020,Overseas
J Suchith,Bowler,3000000,SRH,2021,Indian
J Suchith,All-Rounder,1000000,MI,2015,Indian
Jacob Oram,All-Rounder,3750000,MI,2013,Overseas
Jacques Kallis,All-Rounder,55000000,KKR,2014,Overseas
Jagadeesha Suchith,Bowler,2000000,SRH,2022,Indian
Jalaj Saxena,All-Rounder,9000000,MI,2014,Indian
Jalaj Saxena,All-Rounder,1000000,RCB,2015,Indian
Jalaj Saxena,All-Rounder,2000000,DC,2019,Indian
Jalaj Saxena,All-Rounder,3000000,PBKS,2021,Indian
James Faulkner,All-Rounder,30000000,RR,2013,Overseas
James Neesham,All-Rounder,10000000,DC,2014,Overseas
James Neesham,All-Rounder,5000000,KKR,2015,Overseas
James Neesham,All-Rounder,5000000,PBKS,2020,Overseas
James Neesham,All-Rounder,5000000,MI,2021,Overseas
James Neesham,All-Rounder,15000000,RR,2022,Overseas
Jaskaran Singh,Bowler,1000000,RPSG,2016,Indian
Jason Behrendorff,Bowler,15000000,MI,2018,Overseas
Jason Behrendorff,Bowler,7500000,RCB,2022,Overseas
Jason Holder,Bowler,1500000,CSK,2013,Overseas
Jason Holder,Bowler,7500000,SRH,2014,Overseas
Jason Holder,All-Rounder,7000000,KKR,2016,Overseas
Jason Holder,All-Rounder,87500000,LSG,2022,Overseas
Jason Roy,Batter,10000000,GL,2017,Overseas
Jason Roy,Batter,15000000,DC,2018,Overseas
Jason Roy,Batter,15000000,DC,2020,Overseas
Jason Roy,Batter,20000000,GT,2022,Overseas
Jasprit Bumrah,Bowler,12000000,MI,2014,Indian
Jatin Saxena,All-Rounder,2000000,RR,2018,Indian
Javon Searless,All-Rounder,3000000,KKR,2018,Indian
Jayant Yadav,All-Rounder,1000000,DC,2014,Indian
Jayant Yadav,All-Rounder,5000000,DC,2018,Indian
Jayant Yadav,All-Rounder,17000000,GT,2022,Indian
Jaydev Shah,All-Rounder,2000000,GL,2016,Indian
Jaydev Unadkat,Bowler,39375000,RCB,2013,Indian
Jaydev Unadkat,Bowler,28000000,DC,2014,Indian
Jaydev Unadkat,Bowler,11000000,DC,2015,Indian
Jaydev Unadkat,Bowler,16000000,KKR,2016,Indian
