Hardus Viljoen,147,88,35,797,41*,15.03,620,128.54,0,0,56,36,29,0,147,142,3058,4151,162,5/16,5/16,25.62,8.14,18.8,1,1,0
Abhijeet Tomar,13,13,1,311,84*,25.91,272,114.33,0,2,24,12,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Quinton De Kock,309,299,25,9032,140*,32.96,6524,138.44,6,57,935,349,225,48,309,0,0,0,0,0,0,0,0,0,0,0,0
Syed Khaleel Ahmed
Darren Bravo,174,153,38,3508,94*,30.50,3014,116.39,0,19,217,187,57,0,174,0,0,0,0,0,0,0,0,0,0,0,0
Praveen Kumar,177,86,30,687,76*,12.26,594,115.65,0,1,52,31,22,0,177,177,3695,4599,143,3/18,3/18,32.16,7.46,25.8,0,0,0
Dhruv Jurel,23,19,7,244,34*,20.33,178,137.07,0,0,14,14,10,1,23,0,0,0,0,0,0,0,0,0,0,0,0
Peter Handscomb,119,106,23,1877,103*,22.61,1580,118.79,1,6,139,42,58,14,119,0,0,0,0,0,0,0,0,0,0,0,0
Jeevan Mendis,162,132,27,2250,67,21.42,1820,123.62,0,5,160,85,45,0,162,113,1957,2362,118,5/21,5/21,20.01,7.24,16.5,3,1,0
Johan Botha,222,153,51,1991,67*,19.51,1761,113.06,0,2,151,41,94,0,222,213,4331,4718,166,4/16,4/16,28.42,6.53,26.0,2,0,0
Ishan Kishan,172,164,10,4435,113*,28.79,3382,131.13,3,26,433,196,91,14,172,0,0,0,0,0,0,0,0,0,0,0,0
Siddhesh Dinesh Lad
K.M. Asif
Bandaru Ayyappa,40,17,6,140,24,12.72,118,118.64,0,0,6,10,10,0,40,40,875,1075,48,3/9,3/9,22.39,7.37,18.2,0,0,0
Beuran Hendricks,97,21,11,60,17*,6.00,74,81.08,0,0,2,1,19,0,97,94,1995,2777,122,6/29,6/29,22.76,8.35,16.3,3,1,0
Rudra Pratap Singh
Ajinkya Rahane,249,235,24,6141,105*,29.10,5050,121.60,2,43,624,134,108,0,249,1,6,5,1,1/5,1/5,5.00,5.00,6.0,0,0,0
Pavan Deshpande,26,21,6,517,63,34.46,372,138.97,0,3,39,19,7,0,26,12,123,175,4,2/34,2/34,43.75,8.53,30.7,0,0,0
Srikkanth Anirudha,71,61,13,1257,77,26.18,1009,124.57,0,7,119,47,28,0,71,0,0,0,0,0,0,0,0,0,0,0,0
Sagar Trivedi,20,13,2,140,44,12.72,135,103.70,0,0,9,7,2,0,20,19,390,576,18,4/29,4/29,32.00,8.86,21.6,1,0,0
Stuart Binny,150,116,34,1641,52,20.01,1301,126.13,0,1,118,64,38,0,150,116,1495,1889,73,4/14,4/14,25.87,7.58,20.4,1,0,0
Javon Searless
Prasidh Krishna,82,12,8,10,4*,2.50,29,34.48,0,0,0,0,16,0,82,82,1802,2585,81,4/30,4/30,31.91,8.60,22.2,1,0,0
C.M. Gautam
Vikas Tokas,17,6,5,11,6*,11.00,11,100.00,0,0,1,0,2,0,17,17,289,397,16,3/23,3/23,24.81,8.24,18.0,0,0,0
T Natarajan
Milind Tandon
Samuel Badree,197,59,39,183,29*,9.15,225,81.33,0,0,7,5,46,0,197,194,4125,4144,187,5/22,5/22,22.16,6.02,22.0,2,1,0
Manoj Tiwary,183,161,40,3436,75*,28.39,2951,116.43,0,15,273,91,94,0,183,49,667,903,34,4/23,4/23,26.55,8.12,19.6,1,0,0
Chama Milind,66,36,17,245,26,12.89,195,125.64,0,0,17,9,19,0,66,65,1408,1795,96,5/8,5/8,18.69,7.64,14.6,2,2,0
Ryan McLaren,186,133,57,1751,77,23.03,1503,116.50,0,3,147,34,64,0,186,179,3535,4751,166,5/19,5/19,28.62,8.06,21.2,2,1,0
Billy Stanlake,76,15,12,30,7,10.00,46,65.21,0,0,1,1,8,0,76,76,1609,2149,81,4/8,4/8,26.53,8.01,19.8,1,0,0
R. Ashwin
Pat Cummins,128,72,31,693,66*,16.90,501,138.32,0,3,41,41,31,0,128,128,2868,3815,143,4/16,4/16,26.67,7.98,20.0,3,0,0
Abhishek Nayar,95,80,20,1291,79,21.51,1043,123.77,0,3,107,49,23,0,95,46,679,927,27,3/13,3/13,34.33,8.19,25.1,0,0,0
Aryaman Vikram Birla
Akshdeep Nath,86,76,19,1310,80,22.98,1134,115.52,0,4,111,34,30,1,86,21,264,346,16,3/20,3/20,21.62,7.86,16.5,0,0,0
Shrikant Mundhe,51,46,11,914,91*,26.11,745,122.68,0,6,84,26,20,0,51,48,841,1154,37,3/22,3/22,31.18,8.23,22.7,0,0,0
Murali Kartik,147,46,21,320,35,12.80,290,110.34,0,0,28,5,38,0,147,143,3069,3450,110,5/13,5/13,31.36,6.74,27.9,0,1,0
Anmolpreet Singh,63,49,3,1199,113,26.06,927,129.34,1,6,109,41,31,0,63,0,0,0,0,0,0,0,0,0,0,0,0
Lakshmipathy Balaji,104,20,9,54,15,4.90,62,87.09,0,0,4,2,16,0,104,104,2161,2797,126,5/24,5/24,22.19,7.76,17.1,5,1,0
R Samarth
Vijay Shankar
Ashwin Hebbar,52,50,7,1384,103*,32.18,1074,128.86,1,9,144,48,20,0,52,12,160,242,7,3/20,3/20,34.57,9.07,22.8,0,0,0
Rinku Singh,108,96,31,2286,79,35.16,1550,147.48,0,14,185,107,57,0,108,5,66,114,3,1/11,1/11,38.00,10.36,22.0,0,0,0
Cameron Delport,265,255,16,6055,129,25.33,4327,139.93,5,31,606,273,87,0,265,110,1511,2045,71,4/17,4/17,28.80,8.12,21.2,1,0,0
Karn Sharma,166,111,30,1497,67,18.48,1195,125.27,0,2,108,66,46,0,166,155,2957,3749,142,5/24,5/24,26.40,7.60,20.8,2,1,0
Corey Anderson,153,134,24,2787,95*,25.33,2029,137.35,0,10,173,167,52,0,153,59,870,1292,38,2/10,2/10,34.00,8.91,22.8,0,0,0
Axar Rajesh Patel
K.K. Jiyaz
R. Sai Kishore
Yusuf Pathan,274,243,67,4852,100,27.56,3482,139.34,1,21,376,243,86,0,274,140,2210,2814,99,4/10,4/10,28.42,7.63,22.3,2,0,0
M Siddharth
Sushant Marathe,8,8,1,235,90*,33.57,175,134.28,0,1,27,6,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Trent Boult,194,49,34,160,23*,10.66,162,98.76,0,0,5,8,70,0,194,194,4326,5817,225,4/13,4/13,25.85,8.06,19.2,3,0,0
Mandeep Singh
Anrich Nortje,107,34,17,132,25,7.76,131,100.76,0,0,14,2,27,0,107,106,2342,2922,142,4/10,4/10,20.57,7.48,16.4,4,0,0
Tim Southee,250,116,40,863,74,11.35,606,142.40,0,2,64,47,114,0,250,246,5424,7445,297,6/16,6/16,25.06,8.23,18.2,1,3,0
C Hari Nishaanth
Glenn Maxwell,408,386,54,9238,154*,27.82,6044,152.84,6,52,781,453,193,0,408,275,3612,4686,147,3/10,3/10,31.87,7.78,24.5,0,0,0
Dwayne Smith,337,327,27,7870,110*,26.23,6176,127.42,5,47,759,375,141,0,337,174,2288,3079,110,4/8,4/8,27.99,8.07,20.8,2,0,0
Arjun Tendulkar,20,9,1,98,47,12.25,83,118.07,0,0,3,7,1,0,20,20,386,552,26,4/10,4/10,21.23,8.58,14.8,1,0,0
Shahbaz Nadeem,150,53,17,278,36*,7.72,311,89.38,0,0,18,7,28,0,150,148,3153,3554,125,4/12,4/12,28.43,6.76,25.2,1,0,0
Nidheesh M D Dinesan
Ben Hilfenhaus,96,41,19,205,38*,9.31,210,97.61,0,0,10,8,21,0,96,96,2050,2598,117,5/23,5/23,22.20,7.60,17.5,1,1,0
Fidel Edwards,119,41,22,124,11*,6.52,142,87.32,0,0,8,4,14,0,119,117,2365,3100,112,5/22,5/22,27.67,7.86,21.1,2,1,0
R. Sanjay Yadav
Steven Smith,243,214,45,5282,125*,31.25,4135,127.73,3,24,459,135,133,0,243,52,824,1056,54,4/13,4/13,19.55,7.68,15.2,2,0,0
Abhishek Sharma,88,86,12,2187,112,29.55,1502,145.60,3,13,203,106,24,0,88,49,672,796,30,3/7,3/7,26.53,7.10,22.4,0,0,0
Nikhil Shankar Naik
Jitesh Sharma,104,96,14,2272,106,27.70,1523,149.17,1,10,219,105,63,15,104,1,6,5,0,0,0,0,5.00,0,0,0,0
Mayank Yadav
Chaitanya Bishnoi,50,49,7,1141,78*,27.16,1004,113.64,0,7,112,29,21,0,50,5,48,60,2,1/8,1/8,30.00,7.50,24.0,0,0,0
Syed Mehdi Hasan
