Angkrish Raghuvanshi,7.0,7.0,1.0,138.0,32.0,23.0,119.0,115.96,0,0,11.0,6.0,5.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
Sameer Rizvi,11.0,9.0,3.0,295.0,75.0,49.16,219.0,134.7,0,2.0,20,18.0,4.0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
Manan Vohra,125.0,120,11.0,3257.0,106.0,29.88,2539.0,128.27,1.0,20,322.0,115.0,39.0,0,125.0,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Khan,96.0,74.0,21.0,1188.0,67.0,22.41,926.0,128.29,0,3.0,116.0,33.0,38.0,0,96.0,2.0,8.0,9.0,0,0,0,0,6.75,0,0,0,0
Arshin Kulkarni,6.0,5.0,0,121.0,47.0,24.2,74.0,163.51,0,0,10,9.0,1.0,0,6.0,6.0,114.0,183.0,4.0,0,0,45.75,9.63,28.5,0,0,0
Vivrant Sharma,17.0,14.0,0,309.0,69.0,22.07,248.0,124.59,0,3.0,36.0,10,6.0,0,17.0,7.0,82.0,105.0,8.0,0,0,13.12,7.68,10.2,1.0,0,0
Atit Sheth,54.0,28.0,19.0,203.0,29.0,22.55,169.0,120.11,0,0,17.0,6.0,12.0,0,54.0,53.0,1083.0,1371.0,75.0,0,0,18.28,7.59,14.4,2.0,1.0,0
Hrithik Shokeen,18.0,7.0,4.0,70,25.0,23.33,66.0,106.06,0,0,10,0,5.0,0,18.0,18.0,271.0,386.0,12.0,0,0,32.16,8.54,22.5,0,0,0
Ramandeep Singh,38.0,25.0,9.0,325.0,54.0,20.31,209.0,155.5,0,1.0,20,21.0,17.0,0,38.0,15.0,168.0,228.0,13.0,0,0,17.53,8.14,12.9,0,0,0
Ricky Bhui,62.0,60,14.0,1497.0,108.0,32.54,1082.0,138.35,2.0,7.0,98.0,87.0,13.0,0,62.0,1.0,18.0,18.0,0,0,0,0,6.0,0,0,0,0
Kumar Kushagra,11.0,11.0,2.0,140,33.0,15.55,119.0,117.64,0,0,7.0,7.0,8.0,1.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
Urvil Patel,41.0,41.0,1.0,847.0,96.0,21.17,545.0,155.41,0,4.0,112.0,25.0,32.0,5.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0
Vishnu Solanki,62.0,55.0,14.0,1245.0,71.0,30.36,998.0,124.74,0,6.0,99.0,46.0,31.0,5.0,62.0,1.0,6.0,9.0,0,0,0,0,9.0,0,0,0,0
Yash Dayal,42.0,6.0,4.0,10,4.0,5.0,14.0,71.42,0,0,1.0,0,3.0,0,42.0,42.0,805.0,1102.0,38.0,0,0,29.0,8.21,21.1,0,0,0
